College Code,College Name,Branch Code,Branch Rank,Integrated Rank,Gender,Region,Caste,Seat Category
BVRI,"B V RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR",CSE,649,2753,M,OU,BC_D,BC_D_GEN_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",MIN,44,2754,M,OU,ST,ST_CAP_GIRLS_UR(0)
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",MET,8,2756,M,OU,SC,OC_GEN_OU
MRCE,"MALLA REDDY COLLEGE OF ENGINEERING, MYSAMMAGUDA",CSE,734,2756,M,OU,OC,EWS_GEN_OU
MGIT,"MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS), GANDIPET",MEC,377,2757,M,OU,OC,EWS_GIRLS_OU
VJIT,"VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS, MOINABAD",ECE,735,2759,M,OU,OC,EWS_GEN_OU
SIEI,"SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS), IBRAHIMPATAN",ECE,736,2760,M,OU,SC,OC_GEN_UR
TKRC,"T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS), MIRPET",ECE,737,2761,M,SVU,OC,EWS_GEN_UR
AVIH,"AVANTHI INST OF ENGG AND TECHNOLOGY, HAYATHNAGAR",ECE,738,2762,M,OU,BC_B,OC_GEN_OU
AVNI,"AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS), IBRAHIMPATAN",CIV,612,2763,M,OU,BC_B,BC_B_GEN_OU
MHVR,"MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY, BANDLAGUDA",MEC,379,2764,M,OU,SC,SC_GEN_OU
GURU,"GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS), IBRAHIMPATAN",MEC,380,2765,M,OU,BC_B,BC_B_GEN_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",MEC,381,2766,M,OU,SC,SC_CAP_GEN_UR(0)
VJIT,"VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS, MOINABAD",ECE,740,2769,F,OU,OC,EWS_GEN_OU
VMEG,"VARDHAMAN COLLEGE OF ENGINEERING, SHAMSHABAD",CSM,650,2770,F,OU,BC_A,BC_A_GIRLS_OU
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",ECE,741,2771,F,OU,SC,SC_GIRLS_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",ECE,742,2773,M,OU,BC_B,BC_B_GEN_OU
KUWL,"KU COLLEGE OF ENGINEERING  AND TECHNOLOGY, WARANGAL",MEC,384,2774,F,OU,SC,SC_GEN_OU
MRIT,"MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS), MAISAMMAGUDA",CSM,743,2775,M,OU,OC,EWS_GIRLS_OU
GNIT,"GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS), IBRAHIMPATAN",CSM,613,2776,M,OU,BC_D,SC_GEN_OU
DRKC,"D R K COLLEGE OF ENGINEERING AND TECHNOLOGY, BOWRAMPET",ECE,744,2777,F,OU,BC_B,OC_PHH_GEN_OU
MREC,"MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS), MAISAMMAGUDA",ECE,745,2778,F,OU,BC_D,BC_D_GIRLS_OU
SRYS,"SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS), NAGOLE",ECE,746,2779,M,OU,OC,EWS_GEN_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",ECE,747,2780,F,OU,BC_B,BC_B_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CHE,32,2785,M,OU,BC_E,OC_PHV_GEN_OU
MHVR,"MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY, BANDLAGUDA",EEE,296,2786,M,OU,BC_D,BC_D_GEN_OU
BITN,"BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS), NARSAMPET",CSE,651,2787,F,OU,OC,OC_GIRLS_OU
KMIT,"KESHAV MEMORIAL INST OF TECHNOLOGY, NARAYANAGUDA",CSM,652,2789,M,OU,BC_A,BC_A_GEN_OU
MJCT,"M J COLLEGE OF ENGINEERING AND TECHNOLOGY, BANJARA HILLS",ECE,750,2792,M,OU,BC_E,MUS_GEN_OU
CVSR,"ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG), GHATKESAR",ECE,751,2793,F,OU,SC,SC_GIRLS_OU
SNIS,"SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY, GHATKESAR",CSM,654,2794,M,OU,BC_B,BC_B_GEN_UR
CMRG,"CMR TECHNICAL CAMPUS (AUTONOMOUS), KANDLAKOYA",ECE,752,2795,M,OU,BC_D,OC_GEN_OU
VMEG,"VARDHAMAN COLLEGE OF ENGINEERING, SHAMSHABAD",CSM,655,2799,M,OU,OC,OC_PHO_GEN_OU
VJIT,"VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS, MOINABAD",ECE,754,2799,F,OU,BC_D,BC_D_GEN_OU
KUWLSF,"KU COLLEGE OF ENGINEERING  AND TECHNOLOGY - SELF FINANCE, WARANGAL",CIV,616,2800,M,OU,BC_A,BC_A_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",INF,657,2805,M,OU,ST,ST_GEN_OU
KMEC,"KESHAV MEMORIAL ENGINEERING COLLEGE, KACHWANISINGARAM",CSE,389,2806,F,OU,BC_A,BC_A_GIRLS_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",CSM,390,2807,M,OU,BC_D,BC_C_PHH_GEN_OU
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH, MIYAPUR",CSE,658,2808,M,OU,ST,ST_GEN_OU
KMEC,"KESHAV MEMORIAL ENGINEERING COLLEGE, KACHWANISINGARAM",CSM,617,2809,M,OU,BC_B,BC_B_GEN_OU
KITW,"KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN, NIZAMABAD",CSE,756,2810,F,OU,BC_E,BC_E_GIRLS_OU
IITT,"INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY, SIDDIPET",CIV,618,2813,M,OU,ST,OC_CAP_GEN_UR(0)
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",ECI,757,2813,F,OU,BC_D,OC_GIRLS_OU
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",ECE,758,2814,F,OU,SC,SC_GIRLS_OU
CMRK,"C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",CSM,659,2816,M,OU,BC_B,OC_GEN_OU
GCTC,"GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS), KEESARA",ECE,759,2816,M,OU,BC_D,BC_D_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSD,660,2817,F,OU,BC_E,BC_E_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",INF,661,2818,M,OU,BC_B,BC_B_GEN_OU
MRET,"MALLAREDDY INST OF ENGG AND TECHNOLOGY (AUTONOMOUS), MAISAMMAGUDA",ECE,760,2819,M,OU,BC_D,BC_D_GEN_OU
MLID,"M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS), DUNDIGAL",ANE,392,2820,M,OU,OC,OC_CAP_GEN_UR(0)
TKRC,"T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS), MIRPET",ECE,761,2821,M,OU,BC_D,BC_D_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",AID,662,2823,M,OU,ST,ST_GEN_OU
MOTK,"MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY, SATHUPALLY",ECE,763,2824,F,OU,OC,OC_GIRLS_OU
ANRK,"ANURAG ENGINEERING COLLEGE AUTONOMOUS, KODAD",ECE,764,2826,F,OU,BC_B,BC_B_GIRLS_OU
VJYA,"VIJAYA ENGINEERING COLLEGE, KHAMMAM",CSE,393,2827,M,OU,ST,OC_GEN_OU
GNIT,"GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS), IBRAHIMPATAN",EEE,298,2828,M,OU,SC,SC_GEN_OU
SVES,"SRI VENKATESWARA ENGINEERING COLLEGE, SURYAPETA",CSE,394,2832,M,OU,BC_D,OC_GEN_OU
GURU,"GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS), IBRAHIMPATAN",INF,766,2833,M,OU,OC,EWS_GEN_OU
NNRG,"NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS (AUTONOMOUS), GHATKESAR",CSE,395,2834,M,OU,BC_D,BC_D_GEN_UR
CVSR,"ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG), GHATKESAR",CSE,666,2835,F,OU,BC_D,BC_D_GEN_OU
MLRS,"MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS), DUNDIGAL",CSM,619,2836,M,OU,BC_D,BC_D_GEN_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",MEC,396,2837,F,OU,BC_B,OC_GIRLS_OU
CMRN,"CMR ENGG COLLEGE (AUTONOMOUS), KANDLAKOYA",ECE,767,2838,M,OU,BC_B,BC_B_GEN_OU
MLID,"M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS), DUNDIGAL",ECE,768,2840,M,OU,OC,EWS_GEN_OU
SNIS,"SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY, GHATKESAR",CSE,667,2841,F,OU,BC_A,BC_A_GEN_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS), KARIMNAGAR",EEE,300,2842,F,OU,BC_D,OC_PHH_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",EIE,9,2843,M,OU,OC,EWS_GEN_OU
JNTR,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA, AGRAHARAM RAJANNA SIRCILLA",EEE,301,2844,M,OU,BC_B,BC_B_GEN_OU
BVRI,"B V RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR",CSD,45,2845,M,OU,SC,SC_GEN_OU
JNTR,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA, AGRAHARAM RAJANNA SIRCILLA",EEE,302,2846,M,OU,BC_B,BC_B_GEN_OU
MLID,"M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS), DUNDIGAL",INF,769,2847,M,OU,OC,OC_GEN_OU
KUEWSF,"UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS, WARANGAL",EEE,303,2848,F,OU,BC_D,OC_GIRLS_UR
NRCM,"NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS), MAISAMMAGUDA",EEE,304,2849,M,OU,BC_B,BC_B_GEN_OU
MLID,"M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS), DUNDIGAL",ECE,770,2850,F,OU,BC_D,BC_D_GIRLS_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",CSE,669,2852,F,OU,BC_B,BC_B_GEN_OU
BVRI,"B V RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR",ECE,771,2853,M,OU,SC,SC_GEN_UR
SRYS,"SREYAS INST OF ENGG AND TECHNOLOGY (AUTONOMOUS), NAGOLE",ECE,772,2854,F,OU,OC,OC_CAP_GIRLS_UR(0)
GURU,"GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS), IBRAHIMPATAN",ECE,773,2855,M,OU,BC_B,BC_B_GEN_OU
CVSR,"ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG), GHATKESAR",EEE,306,2857,M,OU,SC,SC_GEN_OU
MRIT,"MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS), MAISAMMAGUDA",ECE,774,2859,F,OU,BC_D,OC_CAP_GIRLS_UR(0)
JNTR,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA, AGRAHARAM RAJANNA SIRCILLA",MEC,397,2860,F,OU,BC_B,OC_CAP_GIRLS_UR(0)
NGIT,"NEIL GOGTE INST OF TECHNOLOGY, KACHIVANI SINGARAM",CSM,670,2861,F,OU,BC_A,OC_GIRLS_OU
OUCESF,"O U COLLEGE OF ENGG  HYDERABAD - SELF FINANCE, HYDERABAD",BME,775,2862,F,OU,BC_D,BC_D_GIRLS_OU
MRIT,"MALLAREDDY INST OF TECHNOLOGY AND SCI (AUTONOMOUS), MAISAMMAGUDA",CSE,398,2863,M,OU,BC_B,BC_B_GEN_OU
NRCM,"NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS), MAISAMMAGUDA",EEE,309,2865,M,OU,BC_D,BC_D_GEN_OU
MLRD,"MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS), MYSAMMAGUDA",ECE,777,2867,F,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",INF,672,2870,F,OU,BC_B,BC_B_GIRLS_OU
VAGE,"VAAGDEVI COLLEGE OF ENGINEERING (AUTONOMOUS), WARANGAL",ECE,779,2871,M,OU,BC_B,OC_GEN_OU
HOLY,"HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS), KEESARA",CIV,620,2872,M,OU,BC_A,BC_A_GEN_OU
VGNT,"VIGNAN INSTITUTE OF TECHNOLOGY AND SCI, DESHMUKHI",AID,621,2873,M,OU,BC_B,BC_B_GEN_OU
MJCT,"M J COLLEGE OF ENGINEERING AND TECHNOLOGY, BANJARA HILLS",CSE,673,2874,M,OU,BC_E,MUS_GEN_OU
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH, MIYAPUR",CSB,399,2876,M,OU,SC,SC_PHH_GEN_OU
LRDS,"LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS), HIMAYATSAGAR",CIV,622,2877,M,OU,BC_E,MUS_GEN_UR
VJIT,"VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS, MOINABAD",INF,625,2880,F,OU,BC_D,BC_D_GIRLS_OU
VMEG,"VARDHAMAN COLLEGE OF ENGINEERING, SHAMSHABAD",CSM,674,2881,M,OU,BC_B,BC_A_GEN_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",MEC,401,2883,M,OU,BC_B,BC_B_GEN_OU
JBIT,"J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS), YENKAPALLY",CIV,626,2884,F,OU,BC_B,BC_B_GIRLS_OU
KITW,"KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN, NIZAMABAD",CIV,627,2885,F,OU,BC_B,BC_B_GIRLS_OU
MRTN,"ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS), DHULAPALLY",ECE,781,2887,F,OU,BC_D,OC_GIRLS_UR
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",CSD,782,2888,F,OU,BC_B,BC_B_GIRLS_OU
SRHP,"SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE) , HASANPARTHY",MEC,403,2890,M,OU,BC_E,BC_E_GEN_OU
JNTR,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA, AGRAHARAM RAJANNA SIRCILLA",MEC,405,2892,M,OU,BC_D,OC_GEN_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",CSM,46,2893,M,OU,SC,SC_GEN_OU
TKRC,"T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS), MIRPET",CIV,629,2894,M,OU,SC,SC_GEN_OU
MJCT,"M J COLLEGE OF ENGINEERING AND TECHNOLOGY, BANJARA HILLS",MEC,407,2896,M,OU,OC,MUS_GEN_OU
MLRD,"MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS), MYSAMMAGUDA",INF,630,2898,M,OU,BC_B,OC_GEN_OU
MLRD,"MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS), MYSAMMAGUDA",INF,631,2900,M,OU,BC_B,ST_GIRLS_OU
VMEG,"VARDHAMAN COLLEGE OF ENGINEERING, SHAMSHABAD",CSM,675,2900,M,OU,BC_B,BC_B_GEN_UR
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",MEC,410,2903,M,OU,BC_A,BC_A_GEN_OU
MLRS,"MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS), DUNDIGAL",ECE,784,2904,M,OU,BC_D,BC_D_GEN_UR
MVSR,"M V S R ENGINEERING COLLEGE (AUTONOMOUS), NADERGUL",AUT,411,2905,M,OU,BC_A,BC_A_GEN_OU
DCET,"DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY, DARUSSALAM",MEC,412,2906,M,OU,BC_E,MUS_GEN_UR
BVRW,"BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS), BACHUPALLY",CSE,677,2909,F,OU,BC_D,BC_D_GIRLS_OU
MVSR,"M V S R ENGINEERING COLLEGE (AUTONOMOUS), NADERGUL",CSE,678,2910,F,OU,BC_D,BC_D_GEN_OU
DRKC,"D R K COLLEGE OF ENGINEERING AND TECHNOLOGY, BOWRAMPET",ECE,785,2911,F,OU,BC_A,OC_GEN_OU
SIEI,"SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS), IBRAHIMPATAN",CSE,634,2914,M,OU,BC_D,BC_D_GEN_UR
VGNT,"VIGNAN INSTITUTE OF TECHNOLOGY AND SCI, DESHMUKHI",ECE,786,2915,M,OU,BC_D,BC_D_GEN_OU
MREC,"MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS), MAISAMMAGUDA",CSD,47,2917,M,OU,BC_B,BC_B_GEN_OU
MLID,"M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS), DUNDIGAL",CSC,635,2917,M,OU,BC_B,BC_B_GEN_OU
PALV,"PALLAVI ENGINEERING COLLEGE, KUNTLOOR",CIV,636,2918,F,OU,BC_B,BC_B_GIRLS_OU
MGIT,"MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS), GANDIPET",CSD,680,2920,F,OU,BC_D,BC_C_GEN_OU
IARE,"INSTITUTE OF AERONAUTICAL ENGINEERING, DUNDIGAL",CSD,48,2922,M,OU,BC_D,BC_D_GEN_OU
JNWN,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY, NARSINGAYAPALLY VILLAGE",CSM,787,2923,M,OU,BC_D,BC_D_GEN_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",ECE,788,2924,F,OU,OC,EWS_GEN_OU
SPEC,"ST PETERS ENGINEERING COLLEGE (AUTONOMOUS), MEDCHAL",CSE,310,2927,M,OU,BC_D,BC_D_GEN_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",ECE,789,2928,M,OU,BC_B,BC_B_GEN_OU
KUEWSF,"UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS, WARANGAL",CSM,681,2931,F,OU,BC_D,OC_CAP_GIRLS_UR(0)
KNRR,"KASIREDDY NARAYANAREDDY COLL ENGG RES, HAYATHNAGAR",MEC,415,2932,M,OU,BC_B,OC_GEN_OU
VAGE,"VAAGDEVI COLLEGE OF ENGINEERING (AUTONOMOUS), WARANGAL",ECE,791,2934,M,OU,BC_D,BC_D_GEN_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",ECE,792,2935,M,OU,BC_A,BC_A_GEN_OU
JNTS,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING  SULTANPUR, SULTANPUR",MEC,417,2936,M,OU,ST,ST_GEN_OU
BVRI,"B V RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR",ECE,793,2939,F,OU,SC,SC_GIRLS_OU
JNTR,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA, AGRAHARAM RAJANNA SIRCILLA",CIV,641,2941,F,OU,ST,ST_GIRLS_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",ECE,794,2942,F,OU,BC_B,BC_B_GEN_OU
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE, PARVATHAPUR",CSE,642,2943,M,OU,BC_B,OC_PHV_GEN_OU
SNIS,"SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY, GHATKESAR",ECE,796,2945,F,OU,SC,SC_GIRLS_UR
GCTC,"GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS), KEESARA",CSD,419,2946,M,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSC,683,2949,F,OU,BC_E,BC_E_GEN_OU
CMRG,"CMR TECHNICAL CAMPUS (AUTONOMOUS), KANDLAKOYA",AIM,420,2950,M,OU,BC_B,BC_B_GEN_OU
CMRG,"CMR TECHNICAL CAMPUS (AUTONOMOUS), KANDLAKOYA",CSM,684,2951,M,AU,BC_A,BC_B_GIRLS_UR
NGIT,"NEIL GOGTE INST OF TECHNOLOGY, KACHIVANI SINGARAM",CSE,685,2954,M,OU,BC_B,OC_GEN_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",AIM,643,2955,M,OU,BC_D,BC_D_GIRLS_OU
MRTN,"ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS), DHULAPALLY",ECE,800,2957,F,OU,OC,EWS_GEN_OU
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI, MANTHANI",MEC,421,2960,F,OU,BC_B,OC_GIRLS_OU
MLID,"M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS), DUNDIGAL",INF,422,2961,M,OU,BC_B,ST_PHO_GEN_OU
VMEG,"VARDHAMAN COLLEGE OF ENGINEERING, SHAMSHABAD",CSM,687,2963,M,OU,BC_B,BC_B_GEN_OU
MLRD,"MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS), MYSAMMAGUDA",EEE,311,2964,F,OU,BC_B,BC_B_GIRLS_OU
JBIT,"J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS), YENKAPALLY",CIV,646,2966,F,OU,SC,SC_GEN_OU
GNIT,"GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS), IBRAHIMPATAN",ECE,802,2966,F,OU,SC,SC_GIRLS_OU
GURU,"GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS), IBRAHIMPATAN",ECE,804,2968,M,OU,BC_B,BC_B_GEN_OU
NREC,"NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS), GHATKESAR",EEE,313,2971,M,OU,BC_D,BC_D_GEN_OU
SNIS,"SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY, GHATKESAR",CSE,688,2972,M,OU,BC_B,BC_B_GEN_OU
KMIT,"KESHAV MEMORIAL INST OF TECHNOLOGY, NARAYANAGUDA",CSE,689,2974,F,OU,SC,SC_GEN_UR
MGIT,"MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS), GANDIPET",MCT,424,2975,M,OU,SC,SC_GEN_OU
ARJN,"ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE, BATASINGARAM",ECE,805,2977,F,OU,BC_B,OC_GIRLS_OU
KUCE,"K U COLLEGE OF ENGG  KOTHAGUDEM, KOTHAGUDEM",EEE,315,2978,M,OU,BC_B,BC_B_GEN_OU
MREC,"MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS), MAISAMMAGUDA",MEC,425,2980,M,OU,BC_E,BC_E_GEN_OU
MLRD,"MALLA REDDY COLLEGE OF ENGG  TECHNOLOGY (AUTONOMOUS), MYSAMMAGUDA",CSE,690,2980,M,OU,OC,OC_GEN_UR
MECS,"MATRUSRI ENGINEERING COLLEGE, HYDERABAD",CME,806,2981,F,OU,OC,OC_CAP_GIRLS_UR(0)
CVSR,"ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG), GHATKESAR",CSE,691,2982,F,OU,BC_B,BC_B_GEN_OU
KMCE,"KESHAV MEMORIAL COLLEGE OF ENGINEERING FORMERLY  VIGNANA BHARATHI ENGINEERING COLLEGE, IBRAHIMPATAN",ECE,807,2985,F,OU,BC_B,BC_B_GEN_OU
BVRI,"B V RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR",CSE,692,2986,M,OU,BC_D,BC_D_GEN_OU
STLW,"STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS), ABIDS",CSE,808,2987,F,OU,BC_B,BC_B_GIRLS_OU
MECS,"MATRUSRI ENGINEERING COLLEGE, HYDERABAD",CME,649,2989,M,OU,BC_D,BC_D_GEN_OU
VBIT,"VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS), GHATKESAR",EEE,316,2991,M,OU,BC_D,BC_D_GEN_OU
JNWN,"JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY, NARSINGAYAPALLY VILLAGE",ECE,809,2992,M,OU,BC_B,BC_B_GEN_UR
KUWL,"KU COLLEGE OF ENGINEERING  AND TECHNOLOGY, WARANGAL",EEE,317,2993,M,OU,ST,ST_GEN_OU
SDES,"SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE (AUTONOMOUS), IBRAHIMPATAN",CIV,650,2994,F,OU,BC_A,BC_A_GEN_OU
CMRM,"CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS), KANDLAKOYA",CSM,427,2996,M,OU,BC_D,BC_D_GEN_OU
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",MEC,428,2997,M,OU,ST,ST_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CHE,33,2998,M,OU,ST,OC_GEN_OU
MRTN,"ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS), DHULAPALLY",EEE,318,2999,M,OU,BC_B,BC_B_GEN_OU
VMTW,"VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN, GHATKESAR",ECE,810,3001,F,OU,BC_B,OC_GIRLS_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",MEC,429,3002,F,OU,BC_D,BC_D_GIRLS_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",EEE,320,3003,F,OU,BC_A,BC_A_GIRLS_OU
