Institute Code,Institute Name,Place,Dist. Name,Region,College,Minority,Co-,Affil.,Branch,fee,Convener Seats
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,ECE,95000,13
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,EEE,95000,13
SDES,SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,MEC,95000,7
SDEW,SRIDEVI WOMENS ENGINEERING COLLEGE AUTONOMOUS,GANDIPET,RR,OU,PVT,NA,GIRLS,JNTUH,CSD,110000,6
SDEW,SRIDEVI WOMENS ENGINEERING COLLEGE AUTONOMOUS,GANDIPET,RR,OU,PVT,NA,GIRLS,JNTUH,CSE,110000,27
SDEW,SRIDEVI WOMENS ENGINEERING COLLEGE AUTONOMOUS,GANDIPET,RR,OU,PVT,NA,GIRLS,JNTUH,CSM,110000,3
SDEW,SRIDEVI WOMENS ENGINEERING COLLEGE AUTONOMOUS,GANDIPET,RR,OU,PVT,NA,GIRLS,JNTUH,ECE,110000,13
SDEW,SRIDEVI WOMENS ENGINEERING COLLEGE AUTONOMOUS,GANDIPET,RR,OU,PVT,NA,GIRLS,JNTUH,INF,110000,17
SDGI,SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSC,80000,6
SDGI,SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSD,80000,7
SDGI,SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSE,80000,13
SDGI,SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,ECE,80000,7
SDGI,SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,EEE,80000,6
