College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
MBNR,GOVT POLYTECHNIC,MAHABUB NAGAR,MAHABUBNAGAR,OU,GOV,NA,COED,SBTET,EC,5080,66
MBNR,GOVT POLYTECHNIC,MAHABUB NAGAR,MAHABUBNAGAR,OU,GOV,NA,COED,SBTET,EE,5080,132
MBNR,GOVT POLYTECHNIC,MAHABUB NAGAR,MAHABUBNAGAR,OU,GOV,NA,COED,SBTET,ME,5080,198
MDCL,GOVERNMENT POLYTECHNIC,MEDCHAL,MEDCHAL,OU,GOV,NA,COED,SBTET,EC,5080,66
MDCL,GOVERNMENT POLYTECHNIC,MEDCHAL,MEDCHAL,OU,GOV,NA,COED,SBTET,EE,5080,66
MDCL,GOVERNMENT POLYTECHNIC,MEDCHAL,MEDCHAL,OU,GOV,NA,COED,SBTET,ME,5080,66
MDKW,GOVT POLYTECHNIC FOR WOMEN,MEDAK,MEDAK,OU,GOV,NA,GIRLS,SBTET,CE,5080,44
MDKW,GOVT POLYTECHNIC FOR WOMEN,MEDAK,MEDAK,OU,GOV,NA,GIRLS,SBTET,CS,5080,44
MDKW,GOVT POLYTECHNIC FOR WOMEN,MEDAK,MEDAK,OU,GOV,NA,GIRLS,SBTET,EC,5080,44
MDRA,GOVT.POLYTECHNIC,MADHIRA,KHAMMAM,OU,GOV,NA,COED,SBTET,CE,5080,66
MDRA,GOVT.POLYTECHNIC,MADHIRA,KHAMMAM,OU,GOV,NA,COED,SBTET,ME,5080,66
MDRK,MADHIRA INSTITUTE OF TECHNOLOGY AND SCI.,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,CE,15780,66
MDRK,MADHIRA INSTITUTE OF TECHNOLOGY AND SCI.,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,CS,15780,66
MDRK,MADHIRA INSTITUTE OF TECHNOLOGY AND SCI.,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,EC,15780,66
MDRK,MADHIRA INSTITUTE OF TECHNOLOGY AND SCI.,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,EE,15780,66
MDRK,MADHIRA INSTITUTE OF TECHNOLOGY AND SCI.,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,ME,15780,66
MGHA,MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,CE,15780,66
MGHA,MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,CS,15780,198
MGHA,MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,GHATKESAR,MEDCHAL,OU,PVT,NA,GIRLS,SBTET,EC,15780,132
MHVR,MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,SBTET,CE,15780,66
MHVR,MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,SBTET,CS,15780,66
MHVR,MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,SBTET,EC,15780,132
MHVR,MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,SBTET,EE,15780,132
MHVR,MAHAVEER INSTITUTE OF SCI. AND TECHNOLOGY,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,SBTET,ME,15780,132
