College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
NDPT,"GOVT.POLYTECHNIC, NANDIPET",EC,57721,M,OU,BC_E,BC_E_GEN_OU
MBNR,"GOVT POLYTECHNIC , MAHABUB NAGAR",EC,57721,M,OU,SC,ST_GIRLS_OU
ZHBD,"SS GOVT POLYTECHNIC , ZAHIRABAD",ME,57721,M,OU,BC_D,BC_D_GEN_OU
HOLY,"HOLY MARY INSTITUTE OF TECH. SCIENCE, KEESARA",CE,57729,F,OU,ST,ST_GEN_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",EC,57729,M,OU,BC_B,BC_B_GEN_OU
SVES,"SRI VENKATESWARA ENGINEERING COLLEGE, SURYAPETA",EE,57733,F,OU,SC,BC_B_GEN_OU
BRIL,"BRILLIANT INSTT OF ENGG AND TECHNOLOGY, HAYATHNAGAR",EE,57743,M,OU,BC_D,BC_D_GEN_OU
KNRR,"KASIREDDY NARAYANAREDDY COLL ENGG RES., HAYATHNAGAR",CE,57744,M,OU,BC_B,BC_B_GEN_OU
ASRA,"AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY, HAYATHNAGAR",EC,57748,M,OU,BC_A,BC_A_GEN_UR
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",EC,57752,F,OU,SC,ST_GIRLS_OU
TRMG,"GOVT.POLYTECHNIC, TIRUMALAGIRI",CE,57757,M,OU,BC_D,BC_A_PHO_GEN_OU
RITM,"RATNAPURI INSTITUTE OF TECH. COLL. OF POLYTECHNIC, TURAKALA KHANAPUR",CS,57759,M,OU,BC_D,BC_B_GEN_OU
QQHD,"QQ GOVT POLYTECHNIC , CHENDULALBARADARI",ME,57765,M,OU,BC_E,OC_GEN_OU
MBNR,"GOVT POLYTECHNIC , MAHABUB NAGAR",AU,57772,F,OU,OC,BC_B_GIRLS_OU
QQHD,"QQ GOVT POLYTECHNIC , CHENDULALBARADARI",EC,57782,M,OU,BC_E,OC_GEN_OU
ZHBD,"SS GOVT POLYTECHNIC , ZAHIRABAD",ME,57782,F,OU,BC_D,BC_D_GIRLS_UR
KSGI,"GOVERNMENT POLYTECHNIC, KOSGI",CE,57792,M,OU,BC_D,BC_B_GEN_OU
GNPT,"GANAPATHI ENGINEERING COLLGE, WARANGAL",EC,57795,M,OU,BC_D,BC_D_GIRLS_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",EE,57795,M,OU,SC,SC_GEN_OU
JPNE,"JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING, MAHABUBNAGAR",EE,57795,M,OU,BC_D,ST_GEN_OU
MBNR,"GOVT POLYTECHNIC , MAHABUB NAGAR",ME,57795,M,OU,BC_D,BC_A_GIRLS_OU
MGHA,"MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN, GHATKESAR",EC,57805,F,OU,SC,SC_GIRLS_UR
SVES,"SRI VENKATESWARA ENGINEERING COLLEGE, SURYAPETA",EE,57805,M,OU,BC_D,BC_D_GIRLS_OU
